episode,total_reward,steps,objects_placed,volume_pct
843,0.2904,3,2,4.47
844,0.2907,3,2,2.55
845,-0.091,2,1,2.53
846,0.3155,3,2,4.47
847,-0.115,2,1,2.52
848,0.2891,3,2,3.79
849,0.2869,3,2,4.42
850,-0.1112,2,1,1.25
851,0.2917,3,2,4.44
852,-0.0947,2,1,1.92
853,-0.1078,2,1,2.53
854,0.2691,3,2,3.17
855,0.3147,3,2,4.46
856,0.689,4,3,5.06
857,-0.1107,2,1,1.89
858,0.2893,3,2,5.05
859,-0.1142,2,1,0.63
860,-0.1167,2,1,2.52
861,0.2838,3,2,3.17
862,-0.112,2,1,1.25
863,-0.117,2,1,0.63
864,0.291,3,2,2.55
865,-0.1171,2,1,0.63
866,-0.1147,2,1,0.63
867,0.312,3,2,3.81
868,-0.1028,2,1,2.55
869,-0.109,2,1,1.89
870,-0.1017,2,1,2.53
871,-0.1076,2,1,1.89
872,-0.0948,2,1,2.54
873,0.2775,3,2,3.79
874,-0.1,2,1,2.55
875,-0.1081,2,1,2.53
876,-0.1017,2,1,2.53
877,-10.0,1,0,0.0
878,-0.1091,2,1,2.52
879,0.2833,3,2,5.05
880,-0.1039,2,1,2.53
881,-0.1075,2,1,2.55
882,0.2857,3,2,3.79
883,-0.0992,2,1,2.53
884,-0.1093,2,1,1.89
885,0.2984,3,2,5.09
886,-0.111,2,1,1.92
887,-0.1114,2,1,1.25
888,-0.1139,2,1,2.52
889,0.295,3,2,3.18
890,-0.0985,2,1,2.53
891,-0.0909,2,1,2.55
892,-0.1167,2,1,1.25
893,-0.0971,2,1,2.53
